id,field,token_count,text
1559,problem,6,Juan's old stamping grounds
4122,problem,6,Here are the word problems:
4989,problem,6,Juan's old stamping grounds
6307,problem,6,Find the value of k.
115,problem,8,Find the product of the given matrices.
1012,problem,8,Find all real values of x that satisfy
6635,problem,8,Find the product of the given matrices.
4990,problem,9,Find the number of real solutions to the equation
7068,problem,9,All the plotted points lie on an ellipse.
124,problem,10,List the prime numbers less than 10.
